testCase,size,startTime,endTime,runtime
filesystemTest,9900,1698101519957,1698101539309,19352
filesystemTest,10000,1698101539322,1698101556337,17015
filesystemTest,10100,1698101556349,1698101572138,15789
filesystemTest,10200,1698101572151,1698101592606,20455
filesystemTest,10200,1698101592618,1698101613043,20425
filesystemTest,10200,1698101613054,1698101632801,19747
filesystemTest,10300,1698101632813,1698101652807,19994
filesystemTest,10400,1698101652820,1698101673005,20185
filesystemTest,10400,1698101673017,1698101692218,19201
filesystemTest,10500,1698101692230,1698101712674,20444
filesystemTest,10500,1698101712687,1698101729906,17219
filesystemTest,10600,1698101729918,1698101750985,21067
filesystemTest,10600,1698101750997,1698101771666,20669
filesystemTest,10600,1698101771678,1698101788051,16373
filesystemTest,10700,1698101788064,1698101804378,16314
filesystemTest,10800,1698101804392,1698101826090,21698
filesystemTest,10800,1698101826102,1698101847190,21088
filesystemTest,10800,1698101847202,1698101867804,20602
